master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
s3a_001_076,S3a,001/076,ポケモン,草,ビードル,C,D,
s3a_002_076,S3a,002/076,ポケモン,草,コクーン,C,D,
s3a_003_076,S3a,003/076,ポケモン,草,スピアー,U,D,
s3a_004_076,S3a,004/076,ポケモン,草,タマタマ,C,D,
s3a_005_076,S3a,005/076,ポケモン,草,ナッシー,U,D,
s3a_006_076,S3a,006/076,ポケモン,草,ヤンヤンマ,C,D,
s3a_007_076,S3a,007/076,ポケモン,草,メガヤンマ,U,D,
s3a_008_076,S3a,008/076,ポケモン,草,クヌギダマ,C,D,
s3a_009_076,S3a,009/076,ポケモン,草,セレビィ,A,D,
s3a_010_076,S3a,010/076,ポケモン,草,シェイミ,R,D,
s3a_011_076,S3a,011/076,ポケモン,草,ゲノセクト,R,D,
s3a_012_076,S3a,012/076,ポケモン,草,ダダリン,C,D,
s3a_013_076,S3a,013/076,ポケモン,草,ザルードV,RR,D,
s3a_014_076,S3a,014/076,ポケモン,雷,デンリュウV,RR,D,
s3a_015_076,S3a,015/076,ポケモン,雷,ライコウ,A,D,
s3a_016_076,S3a,016/076,ポケモン,雷,ラクライ,C,D,
s3a_017_076,S3a,017/076,ポケモン,雷,ライボルト,U,D,
s3a_018_076,S3a,018/076,ポケモン,雷,バチュル,C,D,
s3a_019_076,S3a,019/076,ポケモン,雷,デンチュラ,U,D,
s3a_020_076,S3a,020/076,ポケモン,雷,ゼクロム,R,D,
s3a_021_076,S3a,021/076,ポケモン,雷,ゼラオラ,R,D,
s3a_022_076,S3a,022/076,ポケモン,雷,バチンウニ,U,D,
s3a_023_076,S3a,023/076,ポケモン,超,ピッピ,C,D,
s3a_024_076,S3a,024/076,ポケモン,超,ピクシー,U,D,
s3a_025_076,S3a,025/076,ポケモン,超,キリンリキ,U,D,
s3a_026_076,S3a,026/076,ポケモン,超,カゲボウズ,C,D,
s3a_027_076,S3a,027/076,ポケモン,超,ジュペッタ,U,D,
s3a_028_076,S3a,028/076,ポケモン,超,デデンネ,C,D,
s3a_029_076,S3a,029/076,ポケモン,超,ゼルネアス,R,D,
s3a_030_076,S3a,030/076,ポケモン,超,ディアンシー,R,D,
s3a_031_076,S3a,031/076,ポケモン,超,マホイップV,RR,D,
s3a_032_076,S3a,032/076,ポケモン,超,マホイップVMAX,RRR,D,
s3a_033_076,S3a,033/076,ポケモン,超,ザシアン,A,D,
s3a_034_076,S3a,034/076,ポケモン,闘,ウパー,C,D,
s3a_035_076,S3a,035/076,ポケモン,闘,ヌオー,U,D,
s3a_036_076,S3a,036/076,ポケモン,闘,ツボツボ,C,D,
s3a_037_076,S3a,037/076,ポケモン,闘,レジロック,R,D,
s3a_038_076,S3a,038/076,ポケモン,闘,リオル,C,D,
s3a_039_076,S3a,039/076,ポケモン,闘,ジガルデ,R,D,
s3a_040_076,S3a,040/076,ポケモン,闘,イワンコ,C,D,
s3a_041_076,S3a,041/076,ポケモン,闘,ルガルガン,U,D,
s3a_042_076,S3a,042/076,ポケモン,闘,セキタンザンV,RR,D,
s3a_043_076,S3a,043/076,ポケモン,闘,セキタンザンVMAX,RRR,D,
s3a_044_076,S3a,044/076,ポケモン,闘,ザマゼンタ,A,D,
