market,link,price,name,date,datetime,stock
magi,/items/1252846436,3759,〔状態A-〕ライコウ,2023-01-05,2023-01-05 07:55:37,1
magi,/items/1071731999,2440,【p78】ライコウ(,2023-01-05,2023-01-05 07:55:37,1
magi,/items/1681259025,4000,s3a　ライコウ【A,2023-01-05,2023-01-05 07:55:37,1
magi,/items/1298872769,4704,ライコウ【A】{01,2023-01-05,2023-01-05 07:55:37,1
magi,/items/687026029,2222,アメイジングライコウ,2023-01-05,2023-01-05 07:55:37,1
magi,/items/2030759917,3222,アメイジング　ライコ,2023-01-05,2023-01-05 07:55:37,1
magi,/items/1314825207,5000,ライコウ　カイオーガ,2023-01-05,2023-01-05 07:55:37,1
magi,/items/1681259025,4000,s3a　ライコウ【A,2023-01-05,2023-01-05 07:55:37,1
magi,/items/1174477761,4300,アメイジング　ライコ,2023-01-05,2023-01-05 07:55:37,1
magi,/items/2018796327,7000,アメイジングライコウ,2023-01-05,2023-01-05 07:55:37,1
magi,/items/27281649,4250,ライコウ アメイジン,2023-01-05,2023-01-05 07:55:37,1
