market,link,price,name,date,datetime,stock
magi,/items/1396717878,200,ビート４枚　060/,2023-01-17,2023-01-17 06:34:56,1
hareruya2,https://www.hareruya2.com/product/17596,100,ビート(D){サポー,2023-01-17,2023-01-17 06:34:55,2
magi,/items/1396717878,200,ビート４枚　060/,2023-01-16,2023-01-16 06:33:53,1
hareruya2,https://www.hareruya2.com/product/17596,100,ビート(D){サポー,2023-01-16,2023-01-16 06:33:52,2
magi,/items/1396717878,200,ビート４枚　060/,2023-01-15,2023-01-15 06:35:30,1
hareruya2,https://www.hareruya2.com/product/17596,100,ビート(D){サポー,2023-01-15,2023-01-15 06:35:29,2
magi,/items/1396717878,200,ビート４枚　060/,2023-01-14,2023-01-14 06:36:07,1
hareruya2,https://www.hareruya2.com/product/17596,100,ビート(D){サポー,2023-01-14,2023-01-14 06:36:06,2
magi,/items/1396717878,200,ビート４枚　060/,2023-01-13,2023-01-13 06:36:40,1
hareruya2,https://www.hareruya2.com/product/17596,100,ビート(D){サポー,2023-01-13,2023-01-13 06:36:38,2
magi,/items/1396717878,200,ビート４枚　060/,2023-01-12,2023-01-12 09:07:37,1
hareruya2,https://www.hareruya2.com/product/17596,100,ビート(D){サポー,2023-01-12,2023-01-12 09:07:36,2
magi,/items/1396717878,200,ビート４枚　060/,2023-01-11,2023-01-11 06:34:07,1
hareruya2,https://www.hareruya2.com/product/17596,100,ビート(D){サポー,2023-01-11,2023-01-11 06:34:06,2
magi,/items/1396717878,200,ビート４枚　060/,2023-01-10,2023-01-10 06:34:11,1
hareruya2,https://www.hareruya2.com/product/17596,100,ビート(D){サポー,2023-01-10,2023-01-10 06:34:10,2
