market,link,price,name,date,datetime,stock
magi,/items/1195270845,110,ザシアン　003/0,2023-01-18,2023-01-18 07:16:18,1
hareruya2,https://www.hareruya2.com/product/17613,100,ザシアン(D){鋼},2023-01-18,2023-01-18 07:16:17,2
cardrush,https://www.cardrush-pokemon.jp/product/7096,120,ザシアン003/00,2023-01-18,2023-01-18 07:16:15,6
cardrush,https://www.cardrush-pokemon.jp/product/14703,280,ザシアン003/00,2023-01-18,2023-01-18 07:16:15,44
torecolo,/shop/g/g003-007-SP1-B/,55,【ポケカ】ＳＳ◇ザシ,2023-01-18,2023-01-18 07:16:13,1
magi,/items/1195270845,110,ザシアン　003/0,2023-01-17,2023-01-17 07:04:46,1
hareruya2,https://www.hareruya2.com/product/17613,100,ザシアン(D){鋼},2023-01-17,2023-01-17 07:04:45,2
cardrush,https://www.cardrush-pokemon.jp/product/14703,280,ザシアン003/00,2023-01-17,2023-01-17 07:04:44,44
cardrush,https://www.cardrush-pokemon.jp/product/7096,120,ザシアン003/00,2023-01-17,2023-01-17 07:04:44,6
torecolo,/shop/g/g003-007-SP1-B/,55,【ポケカ】ＳＳ◇ザシ,2023-01-17,2023-01-17 07:04:42,1
magi,/items/1195270845,110,ザシアン　003/0,2023-01-16,2023-01-16 07:02:58,1
hareruya2,https://www.hareruya2.com/product/17613,100,ザシアン(D){鋼},2023-01-16,2023-01-16 07:02:57,2
cardrush,https://www.cardrush-pokemon.jp/product/7096,120,ザシアン003/00,2023-01-16,2023-01-16 07:02:56,6
cardrush,https://www.cardrush-pokemon.jp/product/14703,280,ザシアン003/00,2023-01-16,2023-01-16 07:02:56,45
torecolo,/shop/g/g003-007-SP1-B/,55,【ポケカ】ＳＳ◇ザシ,2023-01-16,2023-01-16 07:02:53,1
magi,/items/1195270845,110,ザシアン　003/0,2023-01-15,2023-01-15 07:07:18,1
cardrush,https://www.cardrush-pokemon.jp/product/7096,120,ザシアン003/00,2023-01-15,2023-01-15 07:07:15,6
cardrush,https://www.cardrush-pokemon.jp/product/14703,280,ザシアン003/00,2023-01-15,2023-01-15 07:07:15,45
torecolo,/shop/g/g003-007-SP1-B/,55,【ポケカ】ＳＳ◇ザシ,2023-01-15,2023-01-15 07:07:12,1
magi,/items/1195270845,110,ザシアン　003/0,2023-01-14,2023-01-14 07:06:41,1
cardrush,https://www.cardrush-pokemon.jp/product/14703,280,ザシアン003/00,2023-01-14,2023-01-14 07:06:39,45
cardrush,https://www.cardrush-pokemon.jp/product/7096,120,ザシアン003/00,2023-01-14,2023-01-14 07:06:39,6
torecolo,/shop/g/g003-007-SP1-B/,55,【ポケカ】ＳＳ◇ザシ,2023-01-14,2023-01-14 07:06:37,1
magi,/items/1195270845,110,ザシアン　003/0,2023-01-13,2023-01-13 07:07:38,1
hareruya2,https://www.hareruya2.com/product/17613,100,ザシアン(D){鋼},2023-01-13,2023-01-13 07:07:36,1
cardrush,https://www.cardrush-pokemon.jp/product/14703,280,ザシアン003/00,2023-01-13,2023-01-13 07:07:35,47
cardrush,https://www.cardrush-pokemon.jp/product/7096,120,ザシアン003/00,2023-01-13,2023-01-13 07:07:35,6
torecolo,/shop/g/g003-007-SP1-B/,110,【ポケカ】ＳＳ◇ザシ,2023-01-13,2023-01-13 07:07:33,1
magi,/items/1195270845,110,ザシアン　003/0,2023-01-12,2023-01-12 09:42:23,1
hareruya2,https://www.hareruya2.com/product/17613,100,ザシアン(D){鋼},2023-01-12,2023-01-12 09:42:22,1
cardrush,https://www.cardrush-pokemon.jp/product/14703,280,ザシアン003/00,2023-01-12,2023-01-12 09:42:21,49
cardrush,https://www.cardrush-pokemon.jp/product/7096,120,ザシアン003/00,2023-01-12,2023-01-12 09:42:21,7
torecolo,/shop/g/g003-007-SP1-B/,110,【ポケカ】ＳＳ◇ザシ,2023-01-12,2023-01-12 09:42:19,1
magi,/items/1195270845,110,ザシアン　003/0,2023-01-11,2023-01-11 07:05:37,1
hareruya2,https://www.hareruya2.com/product/17613,100,ザシアン(D){鋼},2023-01-11,2023-01-11 07:05:36,1
cardrush,https://www.cardrush-pokemon.jp/product/14703,280,ザシアン003/00,2023-01-11,2023-01-11 07:05:35,49
cardrush,https://www.cardrush-pokemon.jp/product/7096,120,ザシアン003/00,2023-01-11,2023-01-11 07:05:35,7
torecolo,/shop/g/g003-007-SP1-B/,110,【ポケカ】ＳＳ◇ザシ,2023-01-11,2023-01-11 07:05:33,1
